!Average past five SJR 60-20-20 water year types											
!Joint model											
!Extended 6/27/05 from 1998 to 2003 by C.Quan-DWR.											
wytypeSJRave5											
wateryear	index_0	index_1	index_2	index_3	index_4	index_5	index_6	index_7	index_8	index_9	index_10
1992	5.00	5.00	5.00	4.80	4.60	5.00	5.00	5.00	5.00	4.80	5.00
1993	4.20	4.40	4.60	4.00	3.80	4.40	4.40	4.60	4.20	4.00	4.40
1994	4.20	4.40	4.60	4.00	3.80	4.40	4.40	4.60	4.20	4.00	4.40
1995	3.40	3.60	3.80	3.20	3.00	3.60	3.60	3.80	3.40	3.20	3.60
1996	2.60	3.00	3.20	2.40	2.40	2.80	3.00	3.40	2.60	2.60	3.00
1997	1.80	2.40	2.60	1.60	1.60	2.00	2.40	2.80	1.80	1.80	2.20
1998	1.80	2.20	2.20	1.60	1.60	1.80	2.20	2.40	1.80	1.80	2.00
1999	1.20	1.80	1.80	1.00	1.00	1.20	1.80	2.20	1.20	1.00	1.40
2000	1.40	2.20	2.40	1.20	1.20	1.40	2.40	3.00	1.40	1.20	1.80
2001	2.00	2.80	3.00	1.80	1.60	2.20	3.00	3.40	2.00	1.80	2.40
2002	2.60	3.40	3.60	2.20	2.00	2.80	3.60	4.00	2.60	2.40	3.20
2003	3.00	4.20	4.40	2.60	2.40	3.40	4.40	4.80	3.20	2.80	4.00
