!Extended 6/17/05 from 1994 to 2003 by C.Quan-DWR.											
delta_index											
wateryear	Dlt_Idx_0	Dlt_Idx_1	Dlt_Idx_2	Dlt_Idx_3	Dlt_Idx_4	Dlt_Idx_5	Dlt_Idx_6	Dlt_Idx_7	Dlt_Idx_8	Dlt_Idx_9	Dlt_Idx_10
1992	8480	6904	6533	10463	10192	8177	7082	6047	10029	9431	7933
1993	22370	19911	18979	27058	25945	22897	20375	19166	28208	26496	24368
1994	6833	5796	5468	8470	8425	6587	5758	5173	7971	7621	6416
1995	34200	32053	34974	39117	39440	36464	33305	34353	41122	43964	37791
1996	22444	20723	19673	29515	29469	24001	21025	18576	30161	28779	24276
1997	22998	24464	24786	28731	29673	27725	23208	25469	30093	30013	27927
1998	27800	23946	26065	31858	31666	28731	25702	26067	36282	33841	30797
1999	18388	16634	16683	24732	23193	19742	17281	16182	26382	23284	20192
2000	19281	16547	16689	23177	23522	20053	16907	15920	25830	23821	20899
2001	9277	7608	7191	11730	11194	8800	7609	6560	11316	10430	8723
2002	12163	9245	9087	14076	13665	11409	9016	9001	13334	12992	10959
2003	15672	12923	12711	17754	17262	15203	11972	13162	17189	16914	14555
