!Data from CAM reconstructed forecast timeseries		
!Addded for the revised BDCP Proposed Project Oct 2012		
feather_runoff_April_90_forecast		
wateryear	month	frcst_fea
1958	2	0.00
1958	3	0.00
1958	4	0.00
1958	5	0.00
1958	6	0.00
1958	7	843.34
1958	8	681.90
1958	9	308.86
1958	10	140.32
1958	11	73.59
1958	12	29.70
1959	1	0.00
1959	2	0.00
1959	3	0.00
1959	4	0.00
1959	5	0.00
1959	6	0.00
1959	7	459.17
1959	8	420.51
1959	9	216.66
1959	10	93.56
1959	11	35.42
1959	12	0.00
1960	1	0.00
1960	2	0.00
1960	3	0.00
1960	4	0.00
1960	5	0.00
1960	6	0.00
1960	7	382.31
1960	8	338.97
1960	9	169.52
1960	10	77.44
1960	11	25.99
1960	12	0.00
1961	1	0.00
1961	2	0.00
1961	3	0.00
1961	4	0.00
1961	5	0.00
1961	6	0.00
1961	7	486.29
1961	8	429.34
1961	9	219.60
1961	10	91.93
1961	11	37.36
1961	12	0.00
1962	1	0.00
1962	2	0.00
1962	3	0.00
1962	4	0.00
1962	5	0.00
1962	6	0.00
1962	7	727.25
1962	8	689.86
1962	9	309.57
1962	10	128.98
1962	11	67.61
1962	12	24.68
1963	1	0.00
1963	2	0.00
1963	3	0.00
1963	4	0.00
1963	5	0.00
1963	6	0.00
1963	7	616.35
1963	8	548.82
1963	9	281.09
1963	10	113.58
1963	11	49.96
1963	12	7.74
1964	1	0.00
1964	2	0.00
1964	3	0.00
1964	4	0.00
1964	5	0.00
1964	6	0.00
1964	7	420.51
1964	8	381.27
1964	9	194.52
1964	10	80.04
1964	11	30.72
1964	12	0.00
1965	1	0.00
1965	2	0.00
1965	3	0.00
1965	4	0.00
1965	5	0.00
1965	6	0.00
1965	7	312.41
1965	8	283.43
1965	9	137.80
1965	10	59.54
1965	11	17.34
1965	12	0.00
1966	1	0.00
1966	2	0.00
1966	3	0.00
1966	4	0.00
1966	5	0.00
1966	6	0.00
1966	7	454.49
1966	8	401.19
1966	9	230.12
1966	10	99.67
1966	11	38.26
1966	12	0.00
1967	1	0.00
1967	2	0.00
1967	3	0.00
1967	4	0.00
1967	5	0.00
1967	6	0.00
1967	7	879.04
1967	8	731.23
1967	9	326.57
1967	10	121.66
1967	11	72.45
1967	12	30.65
1968	1	0.00
1968	2	0.00
1968	3	0.00
1968	4	0.00
1968	5	0.00
1968	6	0.00
1968	7	413.65
1968	8	372.63
1968	9	187.11
1968	10	85.52
1968	11	32.05
1968	12	0.00
1969	1	0.00
1969	2	0.00
1969	3	0.00
1969	4	0.00
1969	5	0.00
1969	6	0.00
1969	7	991.82
1969	8	834.36
1969	9	393.31
1969	10	172.63
1969	11	92.24
1969	12	47.12
1970	1	0.00
1970	2	0.00
1970	3	0.00
1970	4	0.00
1970	5	0.00
1970	6	0.00
1970	7	459.40
1970	8	417.19
1970	9	211.45
1970	10	92.44
1970	11	37.55
1970	12	0.00
1971	1	0.00
1971	2	0.00
1971	3	0.00
1971	4	0.00
1971	5	0.00
1971	6	0.00
1971	7	726.60
1971	8	675.45
1971	9	312.36
1971	10	121.41
1971	11	66.33
1971	12	24.89
1972	1	0.00
1972	2	0.00
1972	3	0.00
1972	4	0.00
1972	5	0.00
1972	6	0.00
1972	7	221.23
1972	8	201.18
1972	9	104.40
1972	10	44.96
1972	11	5.11
1972	12	0.00
1973	1	0.00
1973	2	0.00
1973	3	0.00
1973	4	0.00
1973	5	0.00
1973	6	0.00
1973	7	544.64
1973	8	478.61
1973	9	219.10
1973	10	104.95
1973	11	45.06
1973	12	4.65
1974	1	0.00
1974	2	0.00
1974	3	0.00
1974	4	0.00
1974	5	0.00
1974	6	0.00
1974	7	881.34
1974	8	759.46
1974	9	325.11
1974	10	152.50
1974	11	78.14
1974	12	36.13
1975	1	0.00
1975	2	0.00
1975	3	0.00
1975	4	0.00
1975	5	0.00
1975	6	0.00
1975	7	761.19
1975	8	647.37
1975	9	290.89
1975	10	130.55
1975	11	63.64
1975	12	19.56
1976	1	0.00
1976	2	0.00
1976	3	0.00
1976	4	0.00
1976	5	0.00
1976	6	0.00
1976	7	226.55
1976	8	215.11
1976	9	128.03
1976	10	48.50
1976	11	5.85
1976	12	0.00
1977	1	0.00
1977	2	0.00
1977	3	0.00
1977	4	0.00
1977	5	0.00
1977	6	0.00
1977	7	218.35
1977	8	201.73
1977	9	116.86
1977	10	44.49
1977	11	4.91
1977	12	0.00
1978	1	0.00
1978	2	0.00
1978	3	0.00
1978	4	0.00
1978	5	0.00
1978	6	0.00
1978	7	650.70
1978	8	607.21
1978	9	274.35
1978	10	101.96
1978	11	59.47
1978	12	19.96
1979	1	0.00
1979	2	0.00
1979	3	0.00
1979	4	0.00
1979	5	0.00
1979	6	0.00
1979	7	469.20
1979	8	401.54
1979	9	213.93
1979	10	91.71
1979	11	36.14
1979	12	0.00
1980	1	0.00
1980	2	0.00
1980	3	0.00
1980	4	0.00
1980	5	0.00
1980	6	0.00
1980	7	422.41
1980	8	353.11
1980	9	184.76
1980	10	73.48
1980	11	28.69
1980	12	0.00
1981	1	0.00
1981	2	0.00
1981	3	0.00
1981	4	0.00
1981	5	0.00
1981	6	0.00
1981	7	426.30
1981	8	365.89
1981	9	194.91
1981	10	88.85
1981	11	32.11
1981	12	0.00
1982	1	0.00
1982	2	0.00
1982	3	0.00
1982	4	0.00
1982	5	0.00
1982	6	0.00
1982	7	889.36
1982	8	712.44
1982	9	308.65
1982	10	134.91
1982	11	74.49
1982	12	31.49
1983	1	0.00
1983	2	0.00
1983	3	0.00
1983	4	0.00
1983	5	0.00
1983	6	0.00
1983	7	1390.53
1983	8	1156.16
1983	9	502.55
1983	10	189.49
1983	11	118.79
1983	12	77.26
1984	1	0.00
1984	2	0.00
1984	3	0.00
1984	4	0.00
1984	5	0.00
1984	6	0.00
1984	7	579.02
1984	8	529.56
1984	9	256.86
1984	10	98.60
1984	11	48.13
1984	12	8.81
1985	1	0.00
1985	2	0.00
1985	3	0.00
1985	4	0.00
1985	5	0.00
1985	6	0.00
1985	7	537.37
1985	8	488.03
1985	9	251.47
1985	10	114.16
1985	11	48.06
1985	12	6.60
1986	1	0.00
1986	2	0.00
1986	3	0.00
1986	4	0.00
1986	5	0.00
1986	6	0.00
1986	7	358.72
1986	8	320.05
1986	9	150.60
1986	10	71.72
1986	11	24.80
1986	12	0.00
1987	1	0.00
1987	2	0.00
1987	3	0.00
1987	4	0.00
1987	5	0.00
1987	6	0.00
1987	7	279.97
1987	8	242.00
1987	9	146.49
1987	10	59.24
1987	11	12.95
1987	12	0.00
1988	1	0.00
1988	2	0.00
1988	3	0.00
1988	4	0.00
1988	5	0.00
1988	6	0.00
1988	7	205.96
1988	8	201.07
1988	9	114.43
1988	10	43.87
1988	11	5.37
1988	12	0.00
1989	1	0.00
1989	2	0.00
1989	3	0.00
1989	4	0.00
1989	5	0.00
1989	6	0.00
1989	7	533.22
1989	8	470.34
1989	9	236.42
1989	10	104.87
1989	11	44.20
1989	12	3.95
1990	1	0.00
1990	2	0.00
1990	3	0.00
1990	4	0.00
1990	5	0.00
1990	6	0.00
1990	7	324.84
1990	8	286.45
1990	9	167.30
1990	10	67.59
1990	11	19.76
1990	12	0.00
1991	1	0.00
1991	2	0.00
1991	3	0.00
1991	4	0.00
1991	5	0.00
1991	6	0.00
1991	7	411.01
1991	8	386.81
1991	9	203.59
1991	10	81.10
1991	11	27.46
1991	12	0.00
1992	1	0.00
1992	2	0.00
1992	3	0.00
1992	4	0.00
1992	5	0.00
1992	6	0.00
1992	7	341.17
1992	8	310.30
1992	9	186.61
1992	10	74.68
1992	11	22.23
1992	12	0.00
1993	1	0.00
1993	2	0.00
1993	3	0.00
1993	4	0.00
1993	5	0.00
1993	6	0.00
1993	7	886.58
1993	8	741.46
1993	9	345.45
1993	10	140.14
1993	11	77.13
1993	12	35.36
1994	1	0.00
1994	2	0.00
1994	3	0.00
1994	4	0.00
1994	5	0.00
1994	6	0.00
1994	7	405.42
1994	8	354.35
1994	9	204.51
1994	10	86.40
1994	11	29.78
1994	12	0.00
1995	1	0.00
1995	2	0.00
1995	3	0.00
1995	4	0.00
1995	5	0.00
1995	6	0.00
1995	7	909.23
1995	8	748.47
1995	9	375.26
1995	10	137.74
1995	11	76.96
1995	12	39.05
1996	1	0.00
1996	2	0.00
1996	3	0.00
1996	4	0.00
1996	5	0.00
1996	6	0.00
1996	7	565.56
1996	8	512.48
1996	9	253.88
1996	10	113.37
1996	11	51.08
1996	12	8.41
1997	1	0.00
1997	2	0.00
1997	3	0.00
1997	4	0.00
1997	5	0.00
1997	6	0.00
1997	7	210.61
1997	8	198.09
1997	9	102.82
1997	10	42.61
1997	11	4.95
1997	12	0.00
1998	1	0.00
1998	2	0.00
1998	3	0.00
1998	4	0.00
1998	5	0.00
1998	6	0.00
1998	7	1013.31
1998	8	921.24
1998	9	442.78
1998	10	146.86
1998	11	88.44
1998	12	48.60
1999	1	0.00
1999	2	0.00
1999	3	0.00
1999	4	0.00
1999	5	0.00
1999	6	0.00
1999	7	568.92
1999	8	513.26
1999	9	243.05
1999	10	91.12
1999	11	46.91
1999	12	9.05
2000	1	0.00
2000	2	0.00
2000	3	0.00
2000	4	0.00
2000	5	0.00
2000	6	0.00
2000	7	521.26
2000	8	480.09
2000	9	226.99
2000	10	109.07
2000	11	48.22
2000	12	7.33
2001	1	0.00
2001	2	0.00
2001	3	0.00
2001	4	0.00
2001	5	0.00
2001	6	0.00
2001	7	313.57
2001	8	285.33
2001	9	170.52
2001	10	68.99
2001	11	18.28
2001	12	0.00
2002	1	0.00
2002	2	0.00
2002	3	0.00
2002	4	0.00
2002	5	0.00
2002	6	0.00
2002	7	465.66
2002	8	430.34
2002	9	239.56
2002	10	93.64
2002	11	40.61
2002	12	1.73
2003	1	0.00
2003	2	0.00
2003	3	0.00
2003	4	0.00
2003	5	0.00
2003	6	0.00
2003	7	669.51
2003	8	618.00
2003	9	295.27
2003	10	124.76
2003	11	59.23
2003	12	14.64





