! FWS_BO_A3_Temp.table																						
!																						
! Temperature trigger for FWS BO Action 3.																						
! Assumes 1:1 correlation between monthly air temperature at Sacramento Executive Airport and 3-station avererage water temperatures ( Antioch, Mossdale, Rio Vista)																						
! Trigger dates are estimated by assuming monthly temperatures occuring in mid-month and interpolating temperature for the remaining days.																						
! Below table provides pre-processed dates of occurence for Action 3 temperature trigger (which is also the offramp criterion for Actions 1 and 2).																						
!																						
FWS_BO_A3_Temp																						
Year	Wmonth_0	Day_0	Wmonth_1	Day_1	Wmonth_2	Day_2	Wmonth_3	Day_3	Wmonth_4	Day_4	Wmonth_5	Day_5	Wmonth_6	Day_6	Wmonth_7	Day_7	Wmonth_8	Day_8	Wmonth_9	Day_9	Wmonth_10	Day_10
1948	7	15	7	15	7	15	7	15	7	15	7	15	7	15	7	15	7	15	7	15	7	15
1949	6	21	6	21	6	21	6	21	6	21	6	21	6	21	6	21	6	21	6	21	6	21
1950	6	21	6	21	6	21	6	21	6	21	6	21	6	21	6	21	6	21	6	21	6	21
1951	6	20	6	20	6	20	6	20	6	20	6	20	6	20	6	20	6	20	6	20	6	20
1952	6	28	6	28	6	28	6	28	6	28	6	28	6	28	6	28	6	28	6	28	6	28
1953	6	23	6	23	6	23	6	23	6	23	6	23	6	23	6	23	6	23	6	23	6	23
1954	6	23	6	23	6	23	6	23	6	23	6	23	6	23	6	23	6	23	6	23	6	23
1955	7	17	7	17	7	17	7	17	7	17	7	17	7	17	7	17	7	17	7	17	7	17
1956	6	10	6	10	6	10	6	10	6	10	6	10	6	10	6	10	6	10	6	10	6	10
1957	5	23	5	23	5	23	5	23	5	23	5	23	5	23	5	23	5	23	5	23	5	23
1958	5	8	5	8	5	8	5	8	5	8	5	8	5	8	5	8	5	8	5	8	5	8
1959	5	27	5	27	5	27	5	27	5	27	5	27	5	27	5	27	5	27	5	27	5	27
1960	6	1	6	1	6	1	6	1	6	1	6	1	6	1	6	1	6	1	6	1	6	1
1961	6	17	6	17	6	17	6	17	6	17	6	17	6	17	6	17	6	17	6	17	6	17
1962	6	21	6	21	6	21	6	21	6	21	6	21	6	21	6	21	6	21	6	21	6	21
1963	5	8	5	8	5	8	5	8	5	8	5	8	5	8	5	8	5	8	5	8	5	8
1964	6	29	6	29	6	29	6	29	6	29	6	29	6	29	6	29	6	29	6	29	6	29
1965	6	15	6	15	6	15	6	15	6	15	6	15	6	15	6	15	6	15	6	15	6	15
1966	6	11	6	11	6	11	6	11	6	11	6	11	6	11	6	11	6	11	6	11	6	11
1967	7	22	7	22	7	22	7	22	7	22	7	22	7	22	7	22	7	22	7	22	7	22
1968	5	11	5	11	5	11	5	11	5	11	5	11	5	11	5	11	5	11	5	11	5	11
1969	6	21	6	21	6	21	6	21	6	21	6	21	6	21	6	21	6	21	6	21	6	21
1970	5	25	5	25	5	25	5	25	5	25	5	25	5	25	5	25	5	25	5	25	5	25
1971	7	3	7	3	7	3	7	3	7	3	7	3	7	3	7	3	7	3	7	3	7	3
1972	5	23	5	23	5	23	5	23	5	23	5	23	5	23	5	23	5	23	5	23	5	23
1973	6	25	6	25	6	25	6	25	6	25	6	25	6	25	6	25	6	25	6	25	6	25
1974	6	16	6	16	6	16	6	16	6	16	6	16	6	16	6	16	6	16	6	16	6	16
1975	7	18	7	18	7	18	7	18	7	18	7	18	7	18	7	18	7	18	7	18	7	18
1976	6	28	6	28	6	28	6	28	6	28	6	28	6	28	6	28	6	28	6	28	6	28
1977	6	20	6	20	6	20	6	20	6	20	6	20	6	20	6	20	6	20	6	20	6	20
1978	5	21	5	21	5	21	5	21	5	21	5	21	5	21	5	21	5	21	5	21	5	21
1979	6	9	6	9	6	9	6	9	6	9	6	9	6	9	6	9	6	9	6	9	6	9
1980	5	13	5	13	5	13	5	13	5	13	5	13	5	13	5	13	5	13	5	13	5	13
1981	6	16	6	16	6	16	6	16	6	16	6	16	6	16	6	16	6	16	6	16	6	16
1982	6	21	6	21	6	21	6	21	6	21	6	21	6	21	6	21	6	21	6	21	6	21
1983	6	8	6	8	6	8	6	8	6	8	6	8	6	8	6	8	6	8	6	8	6	8
1984	5	26	5	26	5	26	5	26	5	26	5	26	5	26	5	26	5	26	5	26	5	26
1985	6	22	6	22	6	22	6	22	6	22	6	22	6	22	6	22	6	22	6	22	6	22
1986	5	8	5	8	5	8	5	8	5	8	5	8	5	8	5	8	5	8	5	8	5	8
1987	6	17	6	17	6	17	6	17	6	17	6	17	6	17	6	17	6	17	6	17	6	17
1988	5	6	5	6	5	6	5	6	5	6	5	6	5	6	5	6	5	6	5	6	5	6
1989	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7
1990	6	5	6	5	6	5	6	5	6	5	6	5	6	5	6	5	6	5	6	5	6	5
1991	5	7	5	7	5	7	5	7	5	7	5	7	5	7	5	7	5	7	5	7	5	7
1992	5	13	5	13	5	13	5	13	5	13	5	13	5	13	5	13	5	13	5	13	5	13
1993	5	25	5	25	5	25	5	25	5	25	5	25	5	25	5	25	5	25	5	25	5	25
1994	6	1	6	1	6	1	6	1	6	1	6	1	6	1	6	1	6	1	6	1	6	1
1995	6	15	6	15	6	15	6	15	6	15	6	15	6	15	6	15	6	15	6	15	6	15
1996	5	7	5	7	5	7	5	7	5	7	5	7	5	7	5	7	5	7	5	7	5	7
1997	5	4	5	4	5	4	5	4	5	4	5	4	5	4	5	4	5	4	5	4	5	4
1998	5	20	5	20	5	20	5	20	5	20	5	20	5	20	5	20	5	20	5	20	5	20
1999	6	5	6	5	6	5	6	5	6	5	6	5	6	5	6	5	6	5	6	5	6	5
2000	5	17	5	17	5	17	5	17	5	17	5	17	5	17	5	17	5	17	5	17	5	17
2001	5	23	5	23	5	23	5	23	5	23	5	23	5	23	5	23	5	23	5	23	5	23
2002	5	22	5	22	5	22	5	22	5	22	5	22	5	22	5	22	5	22	5	22	5	22
2003	5	17	5	17	5	17	5	17	5	17	5	17	5	17	5	17	5	17	5	17	5	17
