!Extension to 2003 C.Quan-DWR												
feather_runoff_forecast												
wateryear	month	frcst_fea_0	frcst_fea_1	frcst_fea_2	frcst_fea_3	frcst_fea_4	frcst_fea_5	frcst_fea_6	frcst_fea_7	frcst_fea_8	frcst_fea_9	frcst_fea_10
1961	6	976	854.2	778.7	1022.6	1077.6	896.2	813.4	698.1	955.1	994.5	840.2
1961	7	1244	1084	957.3	1233.7	1343	1106.5	1008.2	845	1111.8	1209.1	1008.3
1961	8	942	816.2	702.1	879.2	997.7	809.9	750.3	617.9	779.1	876.3	731.5
1962	4	1061	937.4	952	1352.6	1312.7	1159.5	1019	992.1	1422.6	1313.6	1166.6
1962	5	998	884.3	894.1	1262.2	1237.5	1088.8	960.7	921.7	1330.5	1231.5	1092.7
1962	6	1750	1502.1	1395.7	1969.7	1990.5	1676.9	1525.8	1281	1699.9	1825.7	1558.2
1962	7	2009	1682.8	1458.7	2153.7	2252.2	1794.4	1632.1	1211.6	1597.3	1909.2	1549.6
1962	8	1061	876.9	713.8	1060.8	1178	905.3	812.1	573.8	737.5	944.2	736
1963	4	1767	1658.3	1526.9	1935.1	2039.6	1719.1	1508.3	1446.6	1906.5	2004.7	1687.6
1963	5	1773	1670.6	1532	1933.1	2041.7	1719.8	1519.7	1439.9	1914.3	2015.7	1686.2
1963	6	1023	999.7	893.5	1046.2	1113	995.9	900.5	868.7	1012.6	1128.3	950.9
1963	7	1560	1537.6	1366.7	1578.2	1686.8	1514.6	1374.7	1326.9	1516.7	1711.8	1433.1
1963	8	1724	1663.3	1432	1604.4	1831.8	1589.7	1447.8	1311.1	1478.3	1715.5	1476.6
1964	4	1422	1245.3	1202.6	1604.1	1573.4	1357.1	1211	1114.4	1574.6	1498	1349.8
1964	5	1644	1440.2	1352.2	1777.7	1799.4	1529.4	1377.1	1220.9	1676.4	1674.8	1489.3
1964	6	1167	1015.8	919.8	1217.5	1265.7	1050.8	952.9	810.5	1114.6	1150.6	1003.7
1964	7	1164	998.5	870.4	1160.6	1250.1	1005.7	916.1	750.9	1020.7	1100.6	936.1
1964	8	696	596.7	502.5	660.5	740.8	583.4	534.8	428.6	560.4	633	528.9
1965	4	1603	1442.3	1411.9	1835.8	1824.7	1590.7	1361.9	1442.4	1923.7	1769.7	1600.6
1965	5	1753	1554.9	1419.4	1743.8	1937.2	1616.8	1374	1284.6	1589.8	1734.1	1487.4
1965	6	972	851.9	749.5	920.9	1064.2	865.3	726	650.2	804.5	926	766.3
1965	7	807	700.5	604.4	735.1	873.1	701.2	585	514.8	631.3	756.1	609.1
1965	8	402	345.8	282	345	424.5	336.3	277.7	233.4	284.2	353.9	277.6
1966	4	1833	1496.2	1547.9	2174	2219.4	1789.4	1457.9	1510.4	2108.6	2028.7	1783.6
1966	5	1819	1465.5	1480.3	2054.1	2178.3	1719.2	1384.9	1379.9	1895.1	1919.5	1651.8
1966	6	1559	1240.3	1222	1705.4	1846	1431.5	1147	1100.6	1499.2	1581.8	1335.1
1966	7	1309	1017.9	967.8	1358.5	1520.2	1151.4	921.8	842.6	1123.8	1254.8	1032.2
1966	8	706	557.5	517.8	698	803	610.5	512.4	468.6	582.1	646.6	546.1
1967	4	1616	1458.9	1410.2	1744.9	1833.5	1585.4	1423.8	1423.7	1750	1834.9	1610.1
1967	5	2644	2364.5	2214.5	2696	2917.5	2490.3	2227.1	2104.3	2551.6	2828	2417.9
1967	6	1698	1501.7	1375.2	1651.7	1837	1550.2	1382.6	1255.6	1518.8	1751.2	1464.3
1967	7	2234	1943.6	1729	2061.1	2388.9	1963.1	1730.1	1508.5	1777.8	2186.2	1768.7
1967	8	2335	1980	1693	2021.1	2474	1943.4	1686.1	1372.6	1611.8	2108.8	1664.4
1968	4	1408	1241.9	1169.2	1767.4	1683.9	1372.5	1202.4	1143	1759.3	1609.7	1400.5
1968	5	1798	1589.4	1477.2	2214.4	2132.2	1725.6	1512.7	1389.9	2121.5	2003.7	1723.5
1968	6	1249	1079.6	937.5	1357.8	1403.1	1119.9	974.1	835.4	1157.9	1236.1	1034.3
1968	7	1147	976.5	824.8	1155.6	1249.9	986.2	864.6	714.9	939.1	1060.8	877.7
1968	8	507	429.9	353.7	488.2	545.1	427.2	372.1	305.3	388.4	452.1	368.9
1969	4	1791	1697.3	1723.9	2022.3	2051.4	1888.4	1700.2	1668.5	2124.2	2191.3	1981.7
1969	5	2780	2621.7	2546.3	2974.2	3088.5	2763.8	2551	2262.5	2862.3	3027.8	2685.2
1969	6	3220	3022.9	2821.6	3228.7	3500	3045.4	2815.9	2312.2	2756.5	3256.4	2794.9
1969	7	2751	2548.4	2275.8	2609.8	2946.4	2476	2255.5	1703.9	1950.5	2611.3	2141.5
1969	8	1805	1647.4	1350.8	1598.1	1910.5	1523	1337.5	953.2	1120.6	1566	1246.5
1970	4	1722	1618.6	1679	1856.4	1990.7	1856.3	1583	1676.1	1986.7	2124.1	1889.8
1970	5	2131	1964.8	1863.1	2079	2256.9	1963.8	1827.1	1674.7	2017.7	2079.9	1910
1970	6	1513	1389.5	1277.1	1423.8	1547.3	1354.3	1280.2	1129.5	1336.9	1400	1279.9
1970	7	1379	1257.2	1112	1205.1	1368.4	1192.3	1122.2	982.7	1088.6	1190.3	1087.9
1970	8	1006	911.1	797	861.2	993.7	855.1	805.4	693.5	765.7	853.2	772.5
1971	4	2650	2292.1	2285.3	3073.7	2941.2	2602.2	2289.8	2217.3	2894.2	2918.8	2591.1
1971	5	2531	2175.7	2100.1	2778.7	2761	2410.9	2120.6	1946.6	2497.8	2661.3	2321.4
1971	6	1758	1493.4	1403.1	1862.3	1895.7	1631.3	1428.9	1260.2	1626.4	1789.2	1532.1
1971	7	2096	1715.4	1544.6	2062.4	2226.4	1814	1544.9	1274.2	1606.9	1917.8	1591.1
1971	8	1330	1077.8	932.9	1252.3	1402.8	1111.9	923.7	731.1	910.8	1151.1	925.8
1972	4	1403	1170.4	1190.3	1699.9	1696.6	1358.7	1142.4	1134.3	1604.6	1608.5	1362.8
1972	5	1214	1015.7	1028.7	1430.1	1463.2	1155.9	976	926.9	1321.3	1363.5	1137
1972	6	1001	825.7	821	1118.8	1187.8	918.2	769.8	690.5	976.6	1070.9	865.4
1972	7	514	420.8	406.9	525.6	584.2	454.6	386.4	341	451.5	521.3	416.4
1972	8	346	284.8	267	338.1	386.6	298.5	258.4	223.3	285	331.5	268.2
1973	4	1162	1072	999	1436	1380.2	1180.5	1057.1	989.9	1460.9	1343.4	1200.6
1973	5	1538	1434.9	1316.9	1822.1	1815.9	1533.3	1394.6	1202.6	1754.2	1702.1	1487.9
1973	6	1716	1580.2	1382.7	1891.8	1982.2	1628	1476.3	1197.3	1670.2	1756.6	1488.9
