CVP_RF_Split                
Node    Contr   Month   RF1_Pct RF2_Pct
6071    5   12  1.00    0.00
6071    6   1   1.00    0.00
6071    6   2   1.00    0.00
6071    6   3   1.00    0.00
6071    6   4   1.00    0.00
6071    6   5   1.00    0.00
6071    6   6   1.00    0.00
6071    6   7   1.00    0.00
6071    6   8   1.00    0.00
6071    6   9   1.00    0.00
6071    6   10  1.00    0.00
6071    6   11  1.00    0.00
6071    6   12  1.00    0.00
6071    7   1   1.00    0.00
6071    7   2   1.00    0.00
6071    7   3   1.00    0.00
6071    7   4   1.00    0.00
6071    7   5   1.00    0.00
6071    7   6   1.00    0.00
6071    7   7   1.00    0.00
6071    7   8   1.00    0.00
6071    7   9   1.00    0.00
6071    7   10  1.00    0.00
6071    7   11  1.00    0.00
6071    7   12  1.00    0.00
6072    1   1   0.07    0.93
6072    1   2   0.07    0.93
6072    1   3   0.07    0.93
6072    1   4   0.07    0.93
6072    1   5   0.07    0.93
6072    1   6   0.07    0.93
6072    1   7   0.07    0.93
6072    1   8   0.07    0.93
6072    1   9   0.07    0.93
6072    1   10  0.07    0.93
6072    1   11  0.07    0.93
6072    1   12  0.07    0.93
6072    2   1   1.00    0.00
6072    2   2   1.00    0.00
6072    2   3   1.00    0.00
6072    2   4   1.00    0.00
6072    2   5   1.00    0.00
6072    2   6   1.00    0.00
6072    2   7   1.00    0.00
6072    2   8   1.00    0.00
6072    2   9   1.00    0.00
6072    2   10  1.00    0.00
6072    2   11  1.00    0.00
6072    2   12  1.00    0.00
